date,q2_plan_cost,q2_emergency_cost,q2_total_cost,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,season,extreme_net_demand_day
2025-05-26,34688.84479343164,11440.50899522446,46129.3537886561,55054.84997923309,39036.70564721558,54579.83295,16018.14433201751,7092.648141440521,春季,False
2025-05-27,33047.77260043992,7.617018127348274e-13,33047.77260043992,40539.49655700882,37928.55344133412,49390.3673,2610.943115674694,-4880.7808408942,春季,False
2025-05-28,37207.141858418574,6.013523012882161e-14,37207.141858418574,36029.95793301475,37283.95581263763,52273.8241,-1253.9978796228752,-76.81395421905472,春季,False
2025-05-29,36777.32252464953,642.3897218736204,37419.71224652315,38783.9522301252,39446.26477266872,54110.1235,-662.312542543521,-2026.5525261455696,春季,False
2025-05-30,15592.604945643316,0.0,15592.604945643316,14962.231189553924,15289.987912672175,6596.233266666665,-327.7567231182511,302.61703297114036,春季,False
2025-05-31,15763.686237231575,4.596358849084936e-13,15763.686237231575,16084.55049640223,15471.112071784886,8389.181550000001,613.4384246173431,292.5741654466892,春季,False
2025-06-01,46239.007271893766,16683.270589190794,62922.27786108456,61140.96205345442,60555.91555891413,71224.8263,585.0464945402928,2366.3623021704334,夏季,False
2025-06-02,50906.849740535006,1312.064531400388,52218.91427193539,59206.20138059513,53979.36231053592,68640.80745,5226.839070059206,-1760.4480386005307,夏季,False
2025-06-03,47907.88552847583,590.9642319791683,48498.84976045499,54423.98862977848,49873.67963095255,68192.36683333333,4550.308998825931,-1374.8298704975605,夏季,False
2025-06-04,56345.68652044593,5.148473869454052e-13,56345.68652044593,54665.8403843692,52024.49478950296,69645.26081666666,2641.3455948662377,4321.19173094297,夏季,False
2025-06-05,49053.84745108513,0.0,49053.84745108513,53018.73362349884,50760.11307166336,71149.31801666666,2258.6205518354764,-1706.2656205782332,夏季,False
2025-06-06,16544.6011860686,23016.956857153546,39561.55804322215,41393.10061327291,34731.17367635011,30854.9954,6661.926936922799,4830.3843668720365,夏季,False
2025-06-07,18837.281705754547,11060.111874486163,29897.39358024071,33677.227399211246,28594.78297992247,31126.513166666664,5082.444419288775,1302.6106003182394,夏季,False
2025-06-08,47563.58393183568,5.146922887888649e-13,47563.58393183568,50892.33902716214,48367.5271612237,65184.923266666665,2524.8118659384418,-803.9432293880163,夏季,False
2025-06-09,52438.31024808458,1.1877498984347314e-13,52438.31024808458,53186.10405494589,51709.28602921873,70932.71273333333,1476.8180257271597,729.0242188658449,夏季,False
2025-06-10,47690.520849679815,123.9226135434054,47814.44346322322,48507.3749576628,51160.28364766742,71618.44423333333,-2652.908690004617,-3345.840184444198,夏季,False
2025-06-11,52958.953320895824,3048.074176539568,56007.02749743539,55511.96751779258,54817.99559509452,76084.44631666665,693.9719226980596,1189.0319023408665,夏季,False
2025-06-12,50401.248798440654,5.945158254583305e-14,50401.248798440654,51048.072596967846,51145.91967211316,72452.39143333332,-97.84707514531328,-744.670873672505,夏季,False
2025-06-13,20142.43015638779,6.727871593170674e-13,20142.43015638779,27631.170886185304,22049.43291041659,28345.3137,5581.737975768712,-1907.0027540288029,夏季,False
2025-06-14,21859.645789404636,3.570050921553048e-13,21859.645789404636,20480.228693741617,20945.15227480709,26193.34275,-464.9235810654718,914.4935145975469,夏季,False
2025-06-15,45523.09519016464,16175.675650103003,61698.77084026764,54682.56841600692,51136.08191641545,70626.97433333333,3546.4864995914686,10562.68892385219,夏季,False
2025-06-16,48473.37427667946,5895.299984682701,54368.67426136216,51468.00041374926,51519.13631454393,72694.05281666666,-51.135900794673944,2849.537946818229,夏季,False
2025-06-17,50005.82960554898,1215.41364347144,51221.243249020416,51019.80859127749,53476.29972026768,74637.01121666667,-2456.4911289901866,-2255.0564712472624,夏季,False
2025-06-18,50128.57423380359,3.1687896751009253e-13,50128.57423380359,50294.59103435728,51759.73229428089,70928.3909,-1465.1412599236064,-1631.158060477297,夏季,False
2025-06-19,46478.21360435396,14372.085290357249,60850.2988947112,55538.95166080103,51820.87346826926,68259.5042,3718.0781925317715,9029.425426441943,夏季,False
2025-06-20,23650.82127967428,0.0,23650.82127967428,21432.103217728727,20976.664738498657,22400.58085,455.4384792300698,2674.1565411756237,夏季,False
2025-06-21,21736.87892823134,0.0,21736.87892823134,20517.779379477804,20271.633055549508,19334.740399999995,246.14632392829662,1465.2458726818331,夏季,False
2025-06-22,43723.82718924091,109.6359054173605,43833.46309465827,50770.77123103043,48704.19586594138,67457.34109999999,2066.5753650890474,-4870.73277128311,夏季,False
2025-06-23,46766.60140965355,5.420472959372091e-13,46766.60140965355,46881.55845815115,47232.80353511465,67061.286,-351.2450769634961,-466.2021254610954,夏季,False
2025-06-24,54248.01240482524,175.7941413333345,54423.80654615857,54568.167053071214,54056.95068812654,76268.79225,511.21636494467384,366.8558580320314,夏季,False
2025-06-25,47403.64496855581,265.4258919609356,47669.07086051674,54498.28447900568,51275.47893347189,70437.42136666666,3222.805545533789,-3606.4080729551497,夏季,False
2025-06-26,45626.25318831503,294.7834383048624,45921.03662661989,46602.65380458782,48989.238409044665,67547.38383333333,-2386.584604456846,-3068.201782424774,夏季,False
2025-06-27,23641.49546333414,4.728493152583724e-13,23641.49546333414,21227.45907649875,20595.123508027544,19771.645866666662,632.3355684712078,3046.3719553065966,夏季,False
2025-06-28,21270.86576926693,6.24567064733128e-14,21270.86576926693,20103.107523166986,19773.6608034791,21776.926116666666,329.4467196878868,1497.2049657878306,夏季,False
2025-06-29,42409.689754980885,19501.68813903719,61911.37789401808,56891.29609012201,50011.07840261619,69267.76853333334,6880.217687505814,11900.299491401885,夏季,False
2025-06-30,47915.57870068775,168.26354342638862,48083.84224411414,48842.61352372629,49444.61989753514,69877.68398333332,-602.0063738088502,-1360.777653421006,夏季,False
2025-07-01,41316.67025337796,88077.89813567644,129394.5683890544,121093.6088923455,71418.43224498499,78866.54403333332,49675.17664736051,57976.136144069416,夏季,False
2025-07-02,43538.66055513873,40405.62780096304,83944.28835610178,87556.6345430781,62991.06469072233,72904.76636666666,24565.569852355766,20953.223665379453,夏季,False
2025-07-03,55862.65138030196,109.39260346666778,55972.04398376863,70670.19576487508,59710.65815745373,79760.41893333333,10959.537607421356,-3738.6141736850986,夏季,False
2025-07-04,20297.17579053912,23187.704997994217,43484.88078853334,56944.48773623573,46946.040317102576,28880.867466666663,9998.447419133154,-3461.1595285692383,夏季,False
2025-07-05,22833.81780066949,13542.133742004538,36375.95154267403,49714.27495760925,39155.05219868903,28790.079966666668,10559.222758920216,-2779.100656014998,夏季,False
2025-07-06,55430.97592499253,4429.231094057778,59860.20701905031,85025.91000771368,59046.17459168325,79793.98155,25979.73541603043,814.0324273670558,夏季,False
2025-07-07,57933.60647810703,9.841567560897605e-13,57933.60647810703,52622.91901735347,53889.21621710001,73409.48276666665,-1266.2971997465356,4044.3902610070218,夏季,False
2025-07-08,59958.25461445639,9.310294757369776e-13,59958.25461445639,55000.3354082055,55514.39523343973,75571.38701666666,-514.0598252342315,4443.859381016657,夏季,False
2025-07-09,59812.17272674094,1.6271428648906294e-12,59812.17272674094,55077.243283810734,54756.03860582228,74058.72501666666,321.20467798845493,5056.134120918658,夏季,False
2025-07-10,54814.54565811263,3.322941921624079e-13,54814.54565811263,50788.78925085066,52008.156567506776,72853.62338333332,-1219.367316656113,2806.3890906058514,夏季,False
2025-07-11,26526.078777888077,1.2616396816156342e-13,26526.078777888077,35072.658784782194,32010.22042821501,32518.77715,3062.438356567185,-5484.141650326932,夏季,False
2025-07-12,27850.15184872048,0.0,27850.15184872048,31161.488724852763,27277.25427079881,31084.24333333333,3884.2344540539525,572.8975779216707,夏季,False
2025-07-13,59899.01100569994,1.7492958193088272e-12,59899.01100569994,54954.84450882696,52771.53280300946,69267.7204,2183.3117058174976,7127.4782026904795,夏季,False
2025-07-14,53623.356707084575,1.0044542975151669e-12,53623.356707084575,51141.73903656466,52437.117603367216,71807.67921666667,-1295.3785668025594,1186.2391037173584,夏季,False
2025-07-15,53799.05551136053,5.4233062485309347e-14,53799.05551136053,52581.54169134625,52131.81276915327,72749.05058333333,449.728922192975,1667.2427422072578,夏季,False
2025-07-16,49695.69768596459,292.89861042083186,49988.59629638542,51852.32486423804,52268.47887317393,72134.56338333333,-416.1540089358896,-2279.8825767885137,夏季,False
2025-07-17,47131.41844777395,17869.749944493225,65001.16839226717,55916.843677131365,52895.10933410698,72720.41606666666,3021.7343430243855,12106.059058160194,夏季,False
2025-07-18,33351.210928965,8.225953251894681e-14,33351.210928965,27463.30519764604,26705.186425650943,31274.2481,758.1187719950976,6646.02450331406,夏季,False
2025-07-19,31285.103526647938,2.9984903449076226e-14,31285.103526647938,27488.047286182373,26683.273832861218,27182.81905,804.7734533211551,4601.82969378672,夏季,False
2025-07-20,50176.51751700713,21.561072000001307,50198.078589007135,52874.82224014619,53444.057502871234,72089.97821666666,-569.2352627250439,-3245.978913864099,夏季,False
